,movieCd,movieNm,director,prdtYear,openDt,typeNm,repNationNm,repGenreNm,companyNm
141,20040752,까불지마,오지명,2004,20041203,장편,한국,드라마,제이유프로덕션(주)
142,20040569,디 아이2,대니 팽,2004,20040526,장편,홍콩,공포(호러),어플러스엔터테인먼트
143,20040570,옹박 - 무에타이의 후예,프라챠 핀카엡,2003,20040526,장편,태국,액션,사하몽콜 필름 인터내셔널
144,20030420,동해물과 백두산이,안진우,2003,20031231,장편,한국,코미디,(주)영화사샘
145,20060081,피터팬의 공식,조창호,2005,20060413,장편,한국,드라마,(주)엘제이필름
146,20040442,피터 팬,P.J. 호건,2003,20040116,장편,미국,어드벤처,(주)엘제이필름
147,20020124,피터팬의 리턴 투 네버랜드,로빈 버드 ,2002,20020502,장편,미국,드라마,월트디즈니
148,19920388,피터팬,해밀턴 러스트,1992,19921218,장편,미국,가족,월트디즈니
149,20040467,사랑할 때 버려야 할 아까운 것들,낸시 마이어스,2003,20040213,장편,미국,코미디,월트디즈니
150,20040556,킬 빌2,쿠엔틴 타란티노,2004,20040514,장편,미국,액션,미라맥스 필름즈
151,20040755,내셔널 트레져,존 터틀타웁,2004,20041231,장편,미국,액션,터치스톤 픽처스
152,20070549,내셔널 트레져:비밀의 책,존 터틀타웁,2007,20071219,장편,미국,액션,제리 브룩하이머 필름
153,20040720,택시: 더 멕시멈,팀 스토리,2004,20041117,장편,미국,액션,이십세기폭스필름코퍼레이션
154,20040443,페이첵,오우삼,2003,20040122,장편,미국,액션,이십세기폭스필름코퍼레이션
155,20040685,프린세스 다이어리 2,게리 마샬,2004,20041029,장편,미국,멜로/로맨스,월트디즈니컴퍼니코리아(주)
156,20040690,2046,왕가위 ,2004,20041015,장편,홍콩,드라마,아르떼
157,20040456,어깨동무,조진규,2004,20040312,장편,한국,코미디,(주)씨케이픽쳐스
158,20040489,여자는 남자의 미래다,홍상수,2004,20040505,장편,한국,드라마,미라신코리아(주)
159,20040623,헬보이,길예르모 델 토로 ,2004,20040820,장편,미국,SF,레볼루션 스튜디오
160,20081332,헬보이 2 : 골든 아미,길예르모 델 토로 ,2008,20080925,장편,미국,SF,레볼루션 스튜디오
161,20000119,트라이어드,장예모,1995,20000325,장편,중국,드라마,레볼루션 스튜디오
162,20028551,빅 팻 라이어,숀 레비,2002,20031128,장편,미국,코미디,씨앤필름(주)
