,movieCd,movieNm,director,openDt,prdtYear,repNationNm,repGenreNm,showTm,watchGradeNm,actor_1,actor_2,actor_3,companyNm
74,20040655,콜래트럴,마이클 만,20041015,2004,미국,액션,120,15세관람가,톰 크루즈,제이미 폭스,제이다 핀켓 스미스,드림웍스 SKG
75,20010067,콜래트럴 데미지,앤드류 데이비스,20020207,2002,미국,액션,108,15세관람가,아놀드 슈왈제네거,,,워너브러더스 코리아(주)
76,20040567,투 가이즈,박헌수,20040709,2004,한국,코미디,116,15세관람가,김성훈,차태현,박중훈,(주)에스씨에스엔터테인먼트
77,20178722,심령 식당,다이치로 나츠메,20170624,2015,일본,공포(호러),68,청소년관람불가,,,,(주)영진크리에이티브
78,20177923,실종: 악령의 부활,안소니 디블라시,20170613,2013,미국,공포(호러),95,청소년관람불가,켈렌 콜먼,,,(주)케이알씨지
79,20040659,돈 텔 파파,이상훈 ,20040903,2003,한국,코미디,102,15세관람가,정웅인,유승호,채민서,기획시대(주)
80,20040624,누구나 비밀은 있다,장현수,20040730,2004,한국,코미디,105,18세관람가,김효진,이병헌,추상미,(주)태원엔터테인먼트
81,20040651,꽃피는 봄이 오면,류장하,20040923,2004,한국,드라마,128,12세관람가,최민식,장신영,김호정,(주)씨즈엔터테인먼트
82,20040642,80일간의 세계 일주,프랑코 코라시,20040917,2004,미국,코미디,90,,성룡,세실 드 프랑스,,(주)쇼박스
83,20040515,인어 공주,박흥식,20040630,2004,한국,드라마,110,전체관람가,전도연,박해일,고두심,나우필름(주)
84,20162609,인어공주 : 새로운 모험의 시작,아담 추,20161103,2015,중국,애니메이션,77,전체관람가,,,,예지림엔터테인먼트
85,20156222,농염한 인어공주,쿠로사바 아키라,20151007,2003,일본,멜로/로맨스,63,청소년관람불가,타키모토 타케시,토키와 사쿠라코,,(주)영진크리에이티브
86,19970306,인어공주 ,존 머스커,19911221,1989,미국,애니메이션,82,연소자관람가,,,,월트디즈니
87,20081342,"나는, 인어공주",페기 홈즈,20081023,2007,러시아,드라마,118,청소년관람불가,말리야 살라예바,예브게니 츠가노프,,㈜영화사 백두대간
88,20030413,목포는 항구다,김지훈,20040220,2003,한국,드라마,110,15세관람가,김윤태,차인표,조재현,기획시대(주)
89,20040734,노트북,닉 카사베츠,20041126,2004,미국,멜로/로맨스,123,15세관람가,레이첼 맥아담스,라이언 고슬링,,뉴라인 시네마
90,20168689,반지의 제왕 : 왕의 귀환 (확장판),피터 잭슨,20170125,2003,뉴질랜드,판타지,263,12세이상관람가,일라이저 우드,이안 맥켈런,리브 타일러,(주)디스테이션
91,20030316,반지의 제왕 : 왕의 귀환,피터 잭슨,20031217,2003,미국,판타지,200,12세관람가,비고 모텐슨,일라이저 우드,리브 타일러,씨제이엔터테인먼트
92,20177081,드래곤빌리지<화이트니스타운을 구하라>,민경호,20170530,2017,한국,애니메이션,51,전체관람가,,,,(주)에픽캔
93,19940183,비버리 힐빌리즈,페넬로페 스피리스,19940514,1993,미국,코미디,93,중학생이상관람가,짐 바니,디트리히 베이더,에리카 엘레니악,이십세기폭스코리아(주)
94,20081148,풀메탈 빌리지,조성형,20080828,2006,독일,다큐멘터리,90,중학생이상관람가,,,,이십세기폭스코리아(주)
95,20040650,빌리지,M. 나이트 샤말란,20040924,2004,미국,공포(호러),108,12세관람가,호아킨 피닉스,브라이스 달라스 하워드,,터치스톤 픽처스
96,20040498,그놈은 멋있었다,이환경,20040722,2004,한국,코미디,113,15세관람가,송승헌,김지혜,정다빈,엘티 픽쳐스
97,20040615,본 슈프리머시,폴 그린그래스,20040820,2004,미국,액션,110,15세관람가,맷 데이먼,칼 어번,프란카 포텐테,유니버셜 픽쳐스
