,movieCd,movieNm,showTm,watchGradeNm,actor_1,actor_2,actor_3,companyNm
2879,20159058,도리를 찾아서,103,전체관람가,엘렌 드제너스,알버트 브룩스,다이안 키튼,월트디즈니컴퍼니코리아(주)
2880,20142621,시간이탈자,107,15세이상관람가,임수정,조정석,이진욱,씨제이이앤엠(주)
2881,20158482,동주,111,12세이상관람가,강하늘,박정민,김인우,(주) 루스이소니도스
2882,20158150,워크래프트: 전쟁의 서막,123,12세이상관람가,트래비스 핌멜,벤 포스터,폴라 패튼,유니버설픽쳐스인터내셔널 코리아(유)
2883,20158483,오빠생각,124,12세이상관람가,임시완,고아성,이희준,(주)조이래빗
2884,20152782,"날, 보러와요",91,청소년관람불가,강예원,이상윤,최진호,(주)오에이엘
2885,20163215,미 비포 유,110,12세이상관람가,에밀리아 클라크,샘 클라플린,매튜 루이스,워너브러더스 코리아(주)
2886,20159162,갓 오브 이집트,127,12세이상관람가,제라드 버틀러,니콜라이 코스터 왈도,코트니 이튼,(주)시네마서비스
2887,20150977,좋아해줘,123,12세이상관람가,이미연,최지우,김주혁,리양필름주식회사
2888,20151884,런던 해즈 폴른,97,15세이상관람가,제라드 버틀러,아론 에크하트,모건 프리먼,메가박스(주)플러스엠
2889,20156207,앵그리버드 더 무비,97,전체관람가,,,,유니버설픽쳐스인터내셔널 코리아(유)
2890,20150203,나우 유 씨 미 2,129,12세이상관람가,제시 아이젠버그,마크 러팔로,우디 해럴슨,롯데쇼핑㈜롯데엔터테인먼트
2891,20068576,그날의 분위기,103,15세이상관람가,문채원,유연석,조재윤,영화사 문(주)
2892,20154906,사냥,93,15세이상관람가,안성기,조진웅,한예리,(주)빅스톤픽쳐스
2893,20080691,고래사냥,112,중학생이상관람가,최재호,김수철,이미숙,(주)빅스톤픽쳐스
2894,20158845,완벽한 사육: 인간 사냥,89,15세이상관람가,다릴 한나,에드워드 펄롱,비니 존스,(주)캔들미디어
2895,20088656,어론 인 더 다크2 : 마녀사냥꾼,91,15세이상관람가,릭 윤,레이첼 스펙터,,(주)소나무픽쳐스
2896,20153221,닌자헌터-사냥의 시작,101,청소년관람불가,미모토 마사노리,쿠로카와 메이,코가 미츠키,(주)도키엔터테인먼트
2897,20145396,널 기다리며,108,청소년관람불가,심은경,윤제문,김성오,(주)영화사수작
2898,20163018,싱 스트리트,105,15세이상관람가,퍼디아 월시-필로,루시 보인턴,잭 레이너,(주)이수C&E
2899,20145506,해어화,120,15세이상관람가,한효주,유연석,천우희,더램프(주)
2900,20156559,계춘할망,116,15세이상관람가,윤여정,김고은,김희원,지오엔터테인먼트
2901,20157466,"로봇, 소리",117,12세이상관람가,이성민,이희준,이하늬,(주)영화사 좋은날
2902,20159199,빅쇼트,130,청소년관람불가,크리스찬 베일,스티브 카렐,라이언 고슬링,롯데쇼핑㈜롯데엔터테인먼트
2903,20158984,헌츠맨: 윈터스 워,114,12세이상관람가,크리스 헴스워스,샤를리즈 테론,에밀리 블런트,유니버설픽쳐스인터내셔널 코리아(유)
2904,20142641,나를 잊지 말아요,106,15세이상관람가,정우성,김하늘,배성우,(주)더블유 팩토리
2905,20163137,나의 소녀시대,134,15세이상관람가,송운화,왕대륙,,오드
2906,20150942,캐롤,118,청소년관람불가,케이트 블란쳇,루니 마라,카일 챈들러,CGV아트하우스
2907,20150565,스포트라이트,129,15세이상관람가,마이클 키튼,마크 러팔로,레이첼 맥아담스,(주)팝엔터테인먼트
2908,20157158,구스범스,103,12세이상관람가,잭 블랙,딜런 미네트,오데야 러쉬,유니버설픽쳐스인터내셔널 코리아(유)
2909,20153087,포인트 브레이크,114,15세이상관람가,루크 브레이시,에드가 라미레즈,테레사 팔머,(주)시네마서비스
2910,20162704,극장판 안녕 자두야,76,전체관람가,여민정,양정화,,아툰즈
2911,20151021,순정,113,12세이상관람가,도경수,김소현,연준석,(주)주피터필름
2912,20050077,댄서의 순정,110,12세관람가,박건형,김은경,문근영,(주)컬처캡미디어
2913,20136902,게이샤의 순정상실,65,청소년관람불가,요시오카 무츠오,,,(주)도키엔터테인먼트
2914,19580059,순정의 문을 열어라,,청소년관람불가,박광수,김웅,,(주)도키엔터테인먼트
2915,20161964,독수리 에디,106,12세이상관람가,태런 에저튼,휴 잭맨,,이십세기폭스코리아(주)
2916,20139043,창녀의 성적유희,56,청소년관람불가,심은진,,,(주)케이알씨지
2917,19920036,무인도의 남과 여,85,연소자관람불가,문성웅,이진영,오미경,썬라이즈필림
2918,19910178,뒤로가는 남과 여,100,고등학생이상관람가,데니스 호퍼,조디 포스터,,현진필름
2919,20150024,짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,104,전체관람가,,,,(주)넥스트엔터테인먼트월드(NEW)
2920,20159643,글로리데이,93,15세이상관람가,지수,김준면,류준열,(주)보리픽쳐스
2921,20161881,부활,107,12세이상관람가,조셉 파인즈,톰 펠튼,,유니버설픽쳐스인터내셔널 코리아(유)
2922,19970056,패자부활전,98,고등학생이상관람가,김희선,장동건,이진우,리앤리필름프로덕션
2923,20150264,사탄의 부활,87,청소년관람불가,존 브리델,에린 코커,,(주)케이알씨지
2924,20060257,가문의 부활 - 가문의 영광3,128,15세관람가,신현준,김원희,김수미,(주)태원엔터테인먼트
2925,20150181,헤라클레스: 전설의 부활,95,청소년관람불가,존 해니건,크리스찬 올리버,,스크린조이
2926,20163199,엔조이닷컴,80,청소년관람불가,,,,영화사청춘 주식회사
2927,20158529,조이,124,12세이상관람가,제니퍼 로렌스,브래들리 쿠퍼,로버트 드니로,이십세기폭스코리아(주)
2928,20156553,비밀,102,15세이상관람가,성동일,김유정,손호준,영화사 도로시(주)
2929,20162300,매직브러시,81,전체관람가,김서영,김경희,박상훈,(주)영화사 빅
2930,20150902,대배우,108,12세이상관람가,오달수,윤제문,이경영,주식회사 영화사다
2931,20162161,미스컨덕트,105,15세이상관람가,알 파치노,안소니 홉킨스,조쉬 더하멜,(주)박수엔터테인먼트
2932,20161630,13시간,144,15세이상관람가,존 크랜신스키,파블로 쉬레이버,토비 스티븐스,롯데쇼핑㈜롯데엔터테인먼트
2933,20150725,극장판 아이엠스타 : 꿈의 오디션!,89,전체관람가,정혜원,이용신,소연,씨제이이앤엠(주)
2934,20161745,제 5침공,112,12세이상관람가,클로이 모레츠,닉 로빈슨,알렉스 로,유니버설픽쳐스인터내셔널 코리아(유)
2935,20155020,대니쉬 걸,120,청소년관람불가,에디 레드메인,알리시아 비칸데르,엠버 허드,유니버설픽쳐스인터내셔널 코리아(유)
2936,19990140,인생은 아름다워,116,모든 관람객이 관람할 수 있는 등급,로베르토 베니니,니콜레타 브라스치,,체키고리그룹 타이거키네마토그라피카
