,movieCd,movieNm_x,movieNm_y,url
52,20040624.0,누구나 비밀은 있다,누구나 비밀은 있다 (Everybody Has Secrets),/movie/bi/mi/basic.nhn?code=35282
53,20040651.0,꽃피는 봄이 오면,꽃피는 봄이 오면 (Springtime),/movie/bi/mi/basic.nhn?code=38378
54,20040642.0,80일간의 세계 일주,80일간의 세계일주 (Around The World In 80 Days),/movie/bi/mi/basic.nhn?code=36053
55,20040515.0,인어 공주,인어 공주 (My Mother The Mermaid),/movie/bi/mi/basic.nhn?code=37739
56,20030413.0,목포는 항구다,목포는 항구다 (Mokpo The Harbor),/movie/bi/mi/basic.nhn?code=36955
57,20040734.0,노트북,노트북 (The Notebook),/movie/bi/mi/basic.nhn?code=38899
58,20030316.0,반지의 제왕 : 왕의 귀환,반지의 제왕: 왕의 귀환 (The Lord Of The Rings: The Return Of The King),/movie/bi/mi/basic.nhn?code=31796
59,20040650.0,빌리지,빌리지 (The Village),/movie/bi/mi/basic.nhn?code=38618
60,20040498.0,그놈은 멋있었다,그 놈은 멋있었다 (Geunomeun Meoshiteotda),/movie/bi/mi/basic.nhn?code=37710
61,20040615.0,본 슈프리머시,본 슈프리머시 (The Bourne Supremacy),/movie/bi/mi/basic.nhn?code=38738
62,20040696.0,레지던트 이블 2-아포칼립스,레지던트 이블 2 (Resident Evil: Apocalypse),/movie/bi/mi/basic.nhn?code=35297
63,20040625.0,얼굴 없는 미녀,얼굴 없는 미녀 (Faceless Beauty),/movie/bi/mi/basic.nhn?code=37969
64,20040656.0,세상의 중심에서 사랑을 외치다,"세상의 중심에서 사랑을 외치다 (世界の中心で, 愛をさけぶ: Crying Out Love In The Center Of The World)",/movie/bi/mi/basic.nhn?code=38699
65,20040670.0,맨 온 파이어,맨 온 파이어 (Man On Fire),/movie/bi/mi/basic.nhn?code=38574
66,20030430.0,라스트 사무라이,라스트 사무라이 (The Last Samurai),/movie/bi/mi/basic.nhn?code=37869
67,20040446.0,그녀를 믿지 마세요,그녀를 믿지 마세요 (Don't Believe Her),/movie/bi/mi/basic.nhn?code=37838
68,20030435.0,내사랑 싸가지,내 사랑 싸가지 (100 Days With Mr. Arrogant),/movie/bi/mi/basic.nhn?code=37725
69,20040618.0,리딕 - 헬리온 최후의 빛,리딕 - 헬리온 최후의 빛 (The Chronicles Of Riddick),/movie/bi/mi/basic.nhn?code=38722
70,20119137.0,가필드 펫 포스 3D,가필드 펫 포스 3D (Garfield's Pet Force),/movie/bi/mi/basic.nhn?code=81763
71,20090062.0,가필드-마법의 샘물,가필드 - 마법의 샘물 (Garfield's Fun Fest),/movie/bi/mi/basic.nhn?code=51249
72,20060194.0,가필드 2,가필드 2 (Garfield: A Tail Of Two Kitties),/movie/bi/mi/basic.nhn?code=45113
73,20040616.0,가필드,가필드 (Garfield: The Movie),/movie/bi/mi/basic.nhn?code=38414
74,20040706.0,알렉산더,알렉산더 (Alexander),/movie/bi/mi/basic.nhn?code=37461
75,20150977.0,좋아해줘,좋아해줘 (Like for Likes),/movie/bi/mi/basic.nhn?code=136893
76,20153182.0,썸니아,썸니아 (Before I Wake),/movie/bi/mi/basic.nhn?code=136878
77,20090683.0,500일의 썸머,500일의 썸머 ([500] Days Of Summer),/movie/bi/mi/basic.nhn?code=53152
78,20060164.0,착신아리 파이널,착신아리 파이널 (着信アリ ファイナル),/movie/bi/mi/basic.nhn?code=58387
79,20050072.0,착신아리2,착신아리 2 (着信アリ 2: One Missed Call 2),/movie/bi/mi/basic.nhn?code=39853
80,20040482.0,맹부삼천지교,맹부삼천지교 (맹父삼천지교),/movie/bi/mi/basic.nhn?code=37738
81,20040484.0,하류인생,하류인생 (下流人生),/movie/bi/mi/basic.nhn?code=37235
82,20040614.0,인형사,인형사,/movie/bi/mi/basic.nhn?code=38620
83,20040748.0,폴라 익스프레스,폴라 익스프레스 (The Polar Express),/movie/bi/mi/basic.nhn?code=38882
84,20040715.0,포가튼,포가튼 (The Forgotten),/movie/bi/mi/basic.nhn?code=39474
85,20040559.0,나두야 간다,나두야 간다 (A Wacky Switch),/movie/bi/mi/basic.nhn?code=27103
86,20040669.0,캣우먼,캣우먼 (Catwoman),/movie/bi/mi/basic.nhn?code=38451
87,20040526.0,첫키스만 50번째,첫 키스만 50번째 (50 First Dates),/movie/bi/mi/basic.nhn?code=38227
88,20040471.0,어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장,어디선가 누군가에 무슨 일이 생기면 틀림없이 나타난다 홍반장 (Mr. Handy),/movie/bi/mi/basic.nhn?code=37716
89,20080010.0,에이리언 VS 프레데터2 ,에이리언 VS. 프레데터 2 (Aliens Vs. Predator: Requiem),/movie/bi/mi/basic.nhn?code=65597
90,20040648.0,에이리언 VS 프레데터,에이리언 VS. 프레데터 (AVP: Alien Vs. Predator),/movie/bi/mi/basic.nhn?code=38281
91,20040637.0,쓰리 몬스터,"쓰리, 몬스터 (Three... Extremes)",/movie/bi/mi/basic.nhn?code=38341
92,20040610.0,화씨 911,화씨 9/11 (Fahrenheit 9/11),/movie/bi/mi/basic.nhn?code=38547
93,20040676.0,스텝포드 와이프,스텝포드 와이프 (The Stepford Wives),/movie/bi/mi/basic.nhn?code=38799
94,20040752.0,까불지마,까불지마 (Shit Up!),/movie/bi/mi/basic.nhn?code=39506
95,20040569.0,디 아이2,디 아이 2 (見鬼 2: The Eye 2),/movie/bi/mi/basic.nhn?code=38573
96,20040570.0,옹박 - 무에타이의 후예,"옹박 - 무에타이의 후예 (Ong-Bak, Muay Thai Warrior)",/movie/bi/mi/basic.nhn?code=37642
97,20030420.0,동해물과 백두산이,동해물과 백두산이 (Lost In The South Mission: Going Home),/movie/bi/mi/basic.nhn?code=37246
98,20040442.0,피터 팬,피터팬 (Peter Pan),/movie/bi/mi/basic.nhn?code=37880
99,20040467.0,사랑할 때 버려야 할 아까운 것들,사랑할 때 버려야 할 아까운 것들 (Something's Gotta Give),/movie/bi/mi/basic.nhn?code=37938
100,20040556.0,킬 빌2,킬 빌 - 2부 (Kill Bill: Vol. 2),/movie/bi/mi/basic.nhn?code=37493
101,20070549.0,내셔널 트레져:비밀의 책,내셔널 트레져: 비밀의 책 (National Treasure: Book Of Secrets),/movie/bi/mi/basic.nhn?code=36746
102,20040755.0,내셔널 트레져,내셔널 트레져 (National Treasure),/movie/bi/mi/basic.nhn?code=38883
103,20040443.0,페이첵,페이첵 (Paycheck),/movie/bi/mi/basic.nhn?code=37837
104,20040685.0,프린세스 다이어리 2,프린세스 다이어리 2 (The Princess Diaries 2: Royal Engagement),/movie/bi/mi/basic.nhn?code=38739
105,20040690.0,2046,2046 (2046),/movie/bi/mi/basic.nhn?code=34309
106,20040456.0,어깨동무,어깨동무 (Who's Got The),/movie/bi/mi/basic.nhn?code=37383
107,20040489.0,여자는 남자의 미래다,여자는 남자의 미래다 (Woman Is The Future Of Man),/movie/bi/mi/basic.nhn?code=36945
108,20040623.0,헬보이,헬보이 (Hellboy),/movie/bi/mi/basic.nhn?code=38396
109,20081332.0,헬보이 2 : 골든 아미,헬보이 2: 골든 아미 (Hellboy 2: The Golden Army),/movie/bi/mi/basic.nhn?code=65213
110,20040553.0,새벽의 저주,»õº®ÀÇ ÀúÁÖ (Dawn Of The Dead),/movie/bi/mi/basic.nhn?code=38364
111,20040689.0,비포 선셋,비포 선셋 (Before Sunset),/movie/bi/mi/basic.nhn?code=39043
112,20040738.0,"DMZ, 비무장지대","DMZ, 비무장지대 (Demilitarized Zone)",/movie/bi/mi/basic.nhn?code=32620
113,20158981.0,하나와 앨리스: 살인사건,ÇÏ³ª¿Í ¾Ù¸®½º : »ìÀÎ»ç°Ç (ü£ªÈ«¢«ê«¹ß¯ìÑÞÀËì),/movie/bi/mi/basic.nhn?code=134133
114,20040704.0,하나와 앨리스,ÇÏ³ª¿Í ¾Ù¸®½º (ü£ªÈ«¢«ê«¹: Hana & Alice),/movie/bi/mi/basic.nhn?code=38461
115,20040499.0,저지 걸,저지 걸 (Jersey Girl),/movie/bi/mi/basic.nhn?code=35941
116,20040716.0,모터사이클 다이어리,모터싸이클 다이어리 (The Motorcycle Diaries),/movie/bi/mi/basic.nhn?code=38551
117,20040581.0,퀸카로 살아남는 법,퀸카로 살아남는 법 (Mean Girls),/movie/bi/mi/basic.nhn?code=38582
118,20040672.0,발레 교습소,발레 교습소 (Flying Boys),/movie/bi/mi/basic.nhn?code=38138
119,20040591.0,데스티네이션 2,데스티네이션 2 (Final Destination 2),/movie/bi/mi/basic.nhn?code=36679
120,20040496.0,아홉살 인생,아홉살 인생 (When I Turned Nine),/movie/bi/mi/basic.nhn?code=37759
121,20040711.0,화이트 칙스,화이트 칙스 (White Chicks),/movie/bi/mi/basic.nhn?code=38898
122,20040731.0,엑소시스트: 더 비기닝,엑소시스트 4 - 비기닝 (Exorcist: The Beginning),/movie/bi/mi/basic.nhn?code=33101
123,20040462.0,빅 피쉬,빅 피쉬 (Big Fish),/movie/bi/mi/basic.nhn?code=37936
124,20040688.0,빈집,빈 집 (3-Iron),/movie/bi/mi/basic.nhn?code=39134
125,20040723.0,사랑에 빠지는 아주 특별한 법칙,사랑에 빠지는 아주 특별한 법칙 (Laws Of Attraction),/movie/bi/mi/basic.nhn?code=38581
126,20040680.0,21 그램,21 그램 (21 Grams),/movie/bi/mi/basic.nhn?code=37951
127,20040608.0,거미숲,거미숲 (Spider Forest),/movie/bi/mi/basic.nhn?code=37491
128,20136810.0,러브액츄얼리: 크리스마스 에디션,러브 액츄얼리 (Love Actually),/movie/bi/mi/basic.nhn?code=36843
129,20030404.0,러브 액츄얼리,러브 액츄얼리 (Love Actually),/movie/bi/mi/basic.nhn?code=36843
130,20040663.0,노 브레인 레이스,노 브레인 레이스 (Rat Race),/movie/bi/mi/basic.nhn?code=33106
131,20154242.0,몬스터 호텔 2,몬스터 호텔 2 (Hotel Transylvania 2),/movie/bi/mi/basic.nhn?code=122596
