,movieCd,movieNm,director,prdtYear,openDt,typeNm,repNationNm,repGenreNm,companyNm
3247,20158704,언프렌디드: 친구삭제,레오 가브리아제,2015,20150507,장편,미국,공포(호러),위더스필름(주)
3248,20149062,연애의 맛,김아론,2014,20150507,장편,한국,멜로/로맨스,(주)청우필름
3249,20153702,포켓몬 더 무비 XY 후파: 광륜의 초마신,유야마 쿠니히코,2015,20151223,장편,일본,애니메이션,(주)청우필름
3250,20144801,버드맨,알레한드로 곤잘레스 이냐리투,2014,20150305,장편,미국,코미디,(주)청우필름
3251,20144621,기생수 파트1,야마자키 타카시,2014,20150226,장편,일본,스릴러,(주)청우필름
3252,20155277,더 셰프,존 웰스,2015,20151105,장편,미국,드라마,(주)청우필름
3253,20161263,헌팅 더 팬텀,마리나 쿠나로바,2014,20160204,장편,카자흐스탄,액션,드림웍스 애니메이션
3254,20150562,팬,조 라이트,2015,20151008,장편,미국,판타지,드림웍스 애니메이션
3255,20152742,노팬티 카페의 여자,키리시마 아키코,2015,20150715,장편,일본,성인물(에로),콘스탄틴 필름 프로덕션
3256,20157903,젖은 팬티의 은밀한 유혹,토모마츠 나오유키,2012,20150312,장편,일본,성인물(에로),콘스탄틴 필름 프로덕션
3257,20163661,레전드 오브 타잔,데이빗 예이츠,2016,20160629,장편,미국,액션,콘스탄틴 필름 프로덕션
3258,20164698,헌팅 더 레전드,저스틴 스틸리,2014,20160602,장편,미국,공포(호러),콘스탄틴 필름 프로덕션
3259,20163667,드라큘라 레전드,루페시 폴,2012,20160519,장편,아랍에미리트연합국정부,공포(호러),콘스탄틴 필름 프로덕션
3260,20155202,레전드,브라이언 헬겔랜드,2015,20151210,장편,프랑스,액션,콘스탄틴 필름 프로덕션
3261,20153037,라이즈 오브 더 레전드: 황비홍,주현량,2014,20150910,장편,홍콩,액션,콘스탄틴 필름 프로덕션
3262,20150242,드래곤 킹 레전드,조셉 J. 로손,2012,20150521,장편,미국,액션,콘스탄틴 필름 프로덕션
3263,20153201,트랜스포터: 리퓰드,카밀 들라마레,2015,20151015,장편,프랑스,액션,콘스탄틴 필름 프로덕션
3264,20020168,센과 치히로의 행방불명,미야자키 하야오,2002,20020627,장편,일본,애니메이션,(유)내부자들 문화전문회사
3265,20150752,스누피: 더 피너츠 무비,스티브 마티노,2015,20151224,장편,미국,애니메이션,(유)내부자들 문화전문회사
3266,20156441,최강전사 미니특공대 : 새로운 악당의 습격,이영준,2014,20150205,장편,한국,애니메이션,(주)삼지애니메이션
3267,20140609,아메리칸 셰프,존 파브로,2014,20150107,장편,미국,코미디,(주)삼지애니메이션
3268,20158461,짱구는 못말려 극장판 : 정면승부! 로봇아빠의 역습,타카하시 와타루,2014,20150423,장편,일본,애니메이션,(주)삼지애니메이션
3269,20147947,워킹걸,정범식,2014,20150107,장편,한국,코미디,(주)홍필름
3270,20162342,여사장의 은밀한 유혹,야마우치 다이스케,2013,20160310,장편,일본,성인물(에로),이십세기폭스필름코퍼레이션
3271,20156276,옆집 유부녀 - 은밀한 유혹,쿠보데라 카즈토,2014,20151012,장편,일본,멜로/로맨스,이십세기폭스필름코퍼레이션
3272,20136869,은밀한 유혹,윤재구,2015,20150604,장편,한국,멜로/로맨스,(주)영화사비단길
3273,20151002,우먼 인 골드,사이먼 커티스,2015,20150709,장편,미국,드라마,파라마운트 픽쳐스
3274,20133682,화장,임권택,2014,20150409,장편,한국,드라마,(주)명필름
3275,20150860,병원 화장실에서,하세가와 쿠니히로,2014,20160120,장편,일본,성인물(에로),CCRC STUDIO
3276,20157851,아내에겐 할 수 없는 일-화장실,하세가와 쿠니히로,2014,20151118,장편,일본,성인물(에로),CCRC STUDIO
3277,20157853,모텔과 화장실,하세가와 쿠니히로,2014,20151125,장편,일본,성인물(에로),CCRC STUDIO
3278,20144102,워터 디바이너,러셀 크로우,2014,20150128,장편,미국,드라마,CCRC STUDIO
3279,20142856,나의 절친 악당들,임상수,2014,20150625,장편,한국,범죄,휠므빠말주식회사
3280,20156970,심야식당,마츠오카 조지,2014,20150618,장편,일본,드라마,휠므빠말주식회사
