,movieCd,movieNm,director,openDt,prdtYear,repNationNm,repGenreNm,showTm,watchGradeNm,actor_1,actor_2,actor_3,companyNm
119,20040482,맹부삼천지교,김지영,20040326,2004,한국,코미디,117,15세관람가,손창민,조재현,이준,코리아 엔터테인먼트
120,20144721,따라지 : 비열한 거리,신동엽,20150608,2014,한국,멜로/로맨스,85,청소년관람불가,고세원,한이서,조한선,디에스미디어
121,20040484,하류인생,임권택,20040521,2004,한국,액션,105,15세관람가,김민선,문혜영,이재룡,태흥영화(주)
122,20040614,인형사,정용기,20040730,2004,한국,공포(호러),89,15세관람가,임은경,김유미,심형탁,(주)필마픽쳐스 
123,20040748,폴라 익스프레스,로버트 저메키스,20041223,2004,미국,애니메이션,100,전체관람가,톰 행크스,노나 M. 게이,,캐슬 락 엔터테인먼트
124,20098251,실종자,드로 소레프,20150723,2009,미국,스릴러,96,청소년관람불가,사이먼 베이커,파즈 베가,,스크린조이
125,20130667,포가튼 : 잊혀진 소녀,알렉스 슈미트,20130905,2012,독일,드라마,102,15세이상관람가,미나 탄더,카타리나 탈바흐,로라 드 보어,㈜영화사 백두대간
126,20040715,포가튼,조셉 루벤,20041203,2004,미국,스릴러,97,15세관람가,크리스토퍼 코바레스키,줄리안 무어,,레볼루션 스튜디오
127,20040559,나두야 간다,정연원,20040625,2004,한국,코미디,105,15세관람가,권용운,안관수,손창민,화이트리 시네마
128,20040669,캣우먼,피토프,20040924,2004,미국,액션,105,12세관람가,할리 베리,벤자민 브랫,,워너브러더스사㈜
129,20040526,첫키스만 50번째,피터 시걸,20040415,2004,미국,코미디,99,15세관람가,아담 샌들러,드류 베리모어,,콜럼비아 픽쳐스 필름 프로덕션
130,20040471,어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장,강석범,20040312,2004,한국,코미디,108,12세관람가,김주혁,엄정화,김가연,㈜제니스엔터테인먼트
131,20080010,에이리언 VS 프레데터2 ,콜린 스트라우스,20080117,2007,미국,SF,93,15세이상관람가,스티븐 파스퀄,레이코 아일리스워스,,이십세기폭스필름코퍼레이션
132,20040648,에이리언 VS 프레데터,폴 W.S. 앤더슨,20040903,2004,미국,SF,90,15세관람가,라울 보바,산나 라단,랜스 헨릭슨,데이비스 엔터테인먼트 필름웍스
133,20040637,쓰리 몬스터,박찬욱,20040820,2004,한국,공포(호러),125,18세관람가,강혜정,하세가와 쿄코,이병헌,(주)영화사봄
134,20040610,화씨 911,마이클 무어,20040722,2004,미국,다큐멘터리,123,15세관람가,마이클 무어,조지 W. 부시,벤 애플렉,도그 잇 도그 필름
135,20040676,스텝포드 와이프,프랭크 오즈,20041001,2004,미국,코미디,93,15세관람가,니콜 키드먼,매튜 브로데릭,베트 미들러,스캇 루딘 프로덕션
136,20040752,까불지마,오지명,20041203,2004,한국,드라마,100,15세관람가,오지명,최불암,노주현,제이유프로덕션(주)
137,20040569,디 아이2,대니 팽,20040526,2004,홍콩,공포(호러),90,15세관람가,원려기,서기,,어플러스엔터테인먼트
138,20040570,옹박 - 무에타이의 후예,프라챠 핀카엡,20040526,2003,태국,액션,100,15세관람가,토니 자,,,사하몽콜 필름 인터내셔널
139,20030420,동해물과 백두산이,안진우,20031231,2003,한국,코미디,104,15세관람가,정준호,공형진,류현경,(주)영화사샘
140,20040442,피터 팬,P.J. 호건,20040116,2003,미국,어드벤처,113,전체관람가,레이첼 허드-우드,제이슨 아이삭스,제레미 섬터,한국소니픽쳐스릴리징브에나비스타영화㈜
141,20020124,피터팬의 리턴 투 네버랜드,로빈 버드 ,20020502,2002,미국,드라마,72,전체관람가,코리 버튼,블레인 위버,,월트디즈니
142,20060081,피터팬의 공식,조창호,20060413,2005,한국,드라마,108,18세관람가,온주완,김호정,박지희,(주)엘제이필름
143,19920388,피터팬,해밀턴 러스트,19921218,1992,미국,가족,76,연소자관람가,바비 드리스콜,,,월트디즈니
144,20040467,사랑할 때 버려야 할 아까운 것들,낸시 마이어스,20040213,2003,미국,코미디,128,15세관람가,,,,워너브러더스 코리아(주)
145,20040556,킬 빌2,쿠엔틴 타란티노,20040514,2004,미국,액션,136,18세관람가,우마 서먼,데이빗 캐러딘,,미라맥스 필름즈
146,20070549,내셔널 트레져:비밀의 책,존 터틀타웁,20071219,2007,미국,액션,124,12세이상관람가,니콜라스 케이지,존 보이트,다이앤 크루거,제리 브룩하이머 필름
147,20040755,내셔널 트레져,존 터틀타웁,20041231,2004,미국,액션,130,12세관람가,다이앤 크루거,니콜라스 케이지,,터치스톤 픽처스
148,20040720,택시: 더 멕시멈,팀 스토리,20041117,2004,미국,액션,97,12세관람가,지젤 번천,지미 펄론,,이십세기폭스필름코퍼레이션
149,20040443,페이첵,오우삼,20040122,2003,미국,액션,119,15세관람가,벤 애플렉,우마 서먼,아론 에크하트,씨제이엔터테인먼트
150,20040685,프린세스 다이어리 2,게리 마샬,20041029,2004,미국,멜로/로맨스,115,전체관람가,줄리 앤드류스,앤 해서웨이,,월트디즈니컴퍼니코리아(주)
151,20040690,2046,왕가위 ,20041015,2004,홍콩,드라마,120,18세관람가,기무라 다쿠야,양조위,장첸,아르떼
152,20040456,어깨동무,조진규,20040312,2004,한국,코미디,110,15세관람가,김아중,최령,이성진,(주)씨케이픽쳐스
153,20040489,여자는 남자의 미래다,홍상수,20040505,2004,한국,드라마,87,18세관람가,유지태,성현아,김태우,미라신코리아(주)
154,20040623,헬보이,길예르모 델 토로 ,20040820,2004,미국,SF,122,15세관람가,셀마 블레어,론 펄먼,,레볼루션 스튜디오
155,20081332,헬보이 2 : 골든 아미,길예르모 델 토로 ,20080925,2008,미국,SF,119,12세이상관람가,론 펄먼,셀마 블레어,,유니버설픽쳐스인터내셔널 코리아(유)
156,20000119,트라이어드,장예모,20000325,1995,중국,드라마,107,18세관람가,공리,이보전,,(주)씨뉴
157,20028551,빅 팻 라이어,숀 레비,20031128,2002,미국,코미디,88,12세관람가,프랭키 머니즈,폴 지아마티,아만다 바인즈,(주)그림상자
158,20161980,좀비 : 새벽의 저주,글렌 밀러,20160225,2014,미국,공포(호러),91,청소년관람불가,캐서린 아네트,,,(주)케이알씨지
159,20040553,새벽의 저주,잭 스나이더,20040514,2004,미국,공포(호러),100,18세관람가,사라 폴리,빙 라메스,제이크 웨버,유니버셜 픽쳐스
160,20040689,비포 선셋,리차드 링클레이터,20041022,2004,미국,드라마,80,15세관람가,줄리 델피,에단 호크,,캐슬 락 엔터테인먼트
161,20040738,"DMZ, 비무장지대",이규형,20041126,2004,한국,드라마,100,18세관람가,김정훈,정채경,박건형,이규형시네마(주)
162,20158981,하나와 앨리스: 살인사건,이와이 슌지,20150527,2015,일본,애니메이션,99,12세이상관람가,아오이 유우,스즈키 안,,씨제이이앤엠(주)
163,20040704,하나와 앨리스,이와이 슌지,20041117,2004,일본,드라마,135,12세관람가,아오이 유우,스즈키 안,,록웰아이즈 (ロックウェルアイズ)
164,20040499,저지 걸,케빈 스미스,20040409,2004,미국,멜로/로맨스,103,12세관람가,벤 애플렉,리브 타일러,,씨제이엔터테인먼트
165,20040716,모터사이클 다이어리,월터 살레스,20041112,2004,영국,드라마,124,15세관람가,가엘 가르시아 베르날,로드리고 드 라 세르나,미아 마에스트로,UIP코리아
166,20040581,퀸카로 살아남는 법,마크 S. 워터스,20040903,2004,미국,코미디,97,15세관람가,린제이 로한,레이첼 맥아담스,,파라마운트 픽쳐스
167,20040672,발레 교습소,변영주,20041203,2004,한국,드라마,119,15세관람가,윤계상,김민정,이준기,좋은영화
168,20040591,데스티네이션 2,데이비드 R. 엘리스,20040611,2003,미국,공포(호러),90,18세관람가,마이클 랜디스,A.J. 쿡,알리 라터,뉴라인 시네마
169,20040496,아홉살 인생,윤인호,20040326,2004,한국,드라마,105,전체관람가,김석,최성,이세영,(주)황기성 사단
170,19969014,쉘 위 댄스,수오 마사유키,20000513,1996,일본,멜로/로맨스,136,전체관람가,쿠사카리 타미요,야쿠쇼 코지,,알타미라픽쳐스
171,20040711,화이트 칙스,키넌 아이보리 웨이언스,20041117,2004,미국,코미디,108,15세관람가,숀 웨이언스,마론 웨이언스,,레볼루션 스튜디오
172,20040731,엑소시스트: 더 비기닝,레니 할린,20041117,2004,미국,공포(호러),114,18세관람가,이자벨라 스코럽코,스텔란 스카스가드,,모건 크릭 프로덕션즈
173,20040462,빅 피쉬,팀 버튼 ,20040305,2003,미국,판타지,110,12세관람가,빌리 크루덥,제시카 랭,이완 맥그리거,더 자눅 컴퍼니
174,20040688,빈집,김기덕,20041015,2004,한국,드라마,88,15세관람가,이승연,재희,권혁호,(주)김기덕 필름
175,20040723,사랑에 빠지는 아주 특별한 법칙,피터 호윗,20041112,2004,아일랜드,멜로/로맨스,89,15세관람가,피어스 브로스넌,줄리안 무어,,아이리시드림타임
176,20040680,21 그램,알레한드로 곤잘레스 이냐리투,20041023,2003,미국,드라마,125,18세관람가,숀 펜,나오미 왓츠,,(주)영화사한결
177,20040608,거미숲,송일곤,20040903,2004,한국,미스터리,113,18세관람가,감우성,이은주,김영재,(주)오크필름
178,20136810,러브액츄얼리: 크리스마스 에디션,리차드 커티스,20131218,2003,미국,멜로/로맨스,135,청소년관람불가,휴 그랜트,콜린 퍼스,리암 니슨,(주)팝엔터테인먼트
179,20030404,러브 액츄얼리,리차드 커티스,20031205,2003,미국,멜로/로맨스,130,15세관람가,휴 그랜트,콜린 퍼스,알란 릭맨,UIP코리아
180,20040663,노 브레인 레이스,제리 주커,20040924,2001,미국,코미디,111,12세관람가,로완 앳킨슨,존 클리즈,라네이 채프만,알파빌필름즈
181,20162222,극장판 울트라맨 우주 몬스터 대결전,사카모토 코이치,20160413,2009,일본,액션,96,전체관람가,,,,(주)박수엔터테인먼트
182,20158192,고스트 헌터: 얼음 몬스터의 부활,토비 바우만,20160225,2015,독일,어드벤처,99,전체관람가,마일로 파커,앙케 엥겔케,,예지림엔터테인먼트
183,20154242,몬스터 호텔 2,젠디 타타코브스키,20151224,2015,미국,애니메이션,89,전체관람가,아담 샌들러,셀레나 고메즈,케빈 제임스,유니버설픽쳐스인터내셔널 코리아(유)
184,20129156,몬스터 호텔,젠디 타타코브스키,20130117,2011,미국,애니메이션,91,전체관람가,아담 샌들러,스티브 부세미,프란 드레셔,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
185,20155441,몬스터 헌트,라맨 허,20151112,2015,중국,판타지,117,12세이상관람가,백백하,탕웨이,정백연,(주)와우픽쳐스
186,20040441,빙우,김은숙 ,20040116,2003,한국,드라마,104,12세관람가,김하늘,이성재,송승헌,쿠앤필름(주)
187,20040455,무간도3 - 종극무간,유위강,20040702,2003,홍콩,드라마,117,18세관람가,양조위,유덕화,여명,미디어 아시아 필름즈
188,20040579,블러디 선데이,폴 그린그래스,20040618,2002,영국,드라마,110,12세관람가,팀 피곳 스미스,제임스 네스빗,,보드스캐넌에이린
189,20149307,로코왕국의 전설: 엘프킹을 찾아서,위성준,20140626,2013,중국,애니메이션,83,전체관람가,이선호,배정미,임주현,(주)마인스 엔터테인먼트
190,20040736,엘프,존 파브로,20041215,2004,미국,코미디,95,전체관람가,윌 페렐,제임스 칸,밥 뉴하트,뉴라인 시네마
191,20040461,콜드 마운틴,안소니 밍겔라,20040220,2003,미국,전쟁,154,15세관람가,니콜 키드먼,주드 로,르네 젤위거,한국소니픽쳐스릴리징브에나비스타영화㈜
192,20040766,여고생 시집가기,오덕환,20041223,2004,한국,코미디,103,15세관람가,은지원,임은경,황재석,(주)더존필름
193,20040582,내 남자 친구는 왕자님,마사 쿨리지,20040618,2004,미국,멜로/로맨스,111,12세관람가,줄리아 스타일즈,루크 마블리,,파라마운트 픽쳐스
194,20040472,귀여워,김수현,20041126,2004,한국,드라마,115,18세관람가,김석훈,정재영,예지원,튜브픽쳐스(주)
195,20040654,진주 귀걸이를 한 소녀,피터 웨버,20040903,2003,영국,멜로/로맨스,95,15세관람가,콜린 퍼스,,,아처엔터테인먼트
196,20040750,신석기 블루스,김도혁,20041230,2004,한국,코미디,110,15세관람가,김현주,이종혁,이민아,㈜팝콘필름
197,20040486,마지막 늑대,구자홍,20040401,2004,한국,코미디,97,15세관람가,황정민,양동근,김경란,제네시스픽쳐스(주)
198,20040600,프레디 대 제이슨-13일의 금요일11,우인태,20040827,2004,미국,공포(호러),96,18세관람가,켈리 로랜드,모니카 키나,,뉴라인 시네마
199,20040694,완벽한 그녀에게 딱 한가지 없는 것,게리 위닉,20041105,2004,미국,코미디,98,15세관람가,제니퍼 가너,마크 러팔로,,한국소니픽쳐스릴리징브에나비스타영화㈜
200,20040586,돌려차기,남상국,20040723,2004,한국,코미디,109,12세관람가,박지연,현빈,진태현,(주)씨네이천
201,20040739,신암행어사,안태근,20041126,2004,한국,애니메이션,86,15세관람가,구자형,지성,엄상현,캐릭터플랜(주)
202,20030434,안녕! 유에프오,김진민,20040130,2004,한국,드라마,105,전체관람가,김응수,변희봉,봉태규,우리영화(주)
203,20040703,"조제, 호랑이 그리고 물고기들",이누도 잇신 ,20041029,2003,일본,드라마,116,15세관람가,츠마부키 사토시,이케와키 치즈루,,아스믹에이스엔터테인먼트
204,20040524,테이킹 라이브즈,D.J. 카루소,20040415,2004,미국,스릴러,102,18세관람가,에단 호크,안젤리나 졸리,키퍼 서덜랜드,워너브러더스사㈜
205,20040522,폴리와 함께,존 햄버그,20040402,2004,미국,멜로/로맨스,89,15세관람가,제니퍼 애니스턴,벤 스틸러,필립 세이모어 호프만,UIP코리아
206,20040509,모나리자 스마일,마이크 뉴웰,20040319,2003,미국,드라마,117,12세관람가,매기 질렌할,커스틴 던스트,줄리아 스타일즈,레볼루션 스튜디오
207,20113920,토르: 마법망치의 전설,오스카 요나손,20120209,2011,아이슬란드,애니메이션,83,전체관람가,하동훈,최효종,김원효,롯데쇼핑㈜롯데엔터테인먼트
208,20040565,망치,안태근,20040806,2004,한국,애니메이션,74,전체관람가,김용준,표영재,최석필,캐릭터플랜(주)
209,20040476,사랑도 통역이 되나요?,소피아 코폴라,20040220,2003,미국,멜로/로맨스,102,15세관람가,빌 머레이,스칼렛 요한슨,지오바니 리비시,아메리칸조이트로프
210,20040607,갓센드,닉 햄,20040903,2004,미국,공포(호러),102,15세관람가,그렉 키니어,레베카 로메인,로버트 드니로,(주)시네마서비스
211,20030426,더 캣,보 웰치,20031231,2003,미국,판타지,85,전체관람가,마이크 마이어스,알렉 볼드윈,,씨제이엔터테인먼트
212,20030439,그녀를 모르면 간첩,박한준,20040130,2003,한국,코미디,100,15세관람가,공유,김정화,백일섭,(주)엠쓰리엔터테인먼트
213,20040519,히달고,조 존스톤,20040319,2004,미국,액션,135,12세관람가,줄레이카 로빈슨,비고 모텐슨,오마 샤리프,터치스톤 픽처스
214,20040732,팜므 파탈,브라이언 드 팔마,20041117,2002,프랑스,범죄,110,18세관람가,안토니오 반데라스,,,워너 브러더스 픽쳐스
215,19930074,가면의 정사,볼프강 페터젠,19930122,1991,미국,스릴러,98,고등학생이상관람가,톰 베린저,밥 호스킨스,그레타 스카키,신라영화(주)
216,20040512,헌티드,윌리엄 프리드킨,20040312,2003,미국,액션,94,18세관람가,베니치오 델 토로,토미 리 존스,,알파빌필름즈
217,20040550,헌티드 맨션,롭 민코프,20040415,2003,미국,코미디,99,전체관람가,에디 머피,테렌스 스탬프,,월트디즈니컴퍼니코리아(주)
218,20000134,헌티드 힐,윌리엄 말론,20000408,1999,미국,공포(호러),90,18세관람가,팜케 얀센,제프리 러쉬,,씨제이엔터테인먼트
219,20040447,스쿨 오브 락,리차드 링클레이터,20040227,2003,미국,코미디,108,전체관람가,잭 블랙,존 쿠삭,마이크 화이트,UIP코리아
220,20151141,허니문,리 자니악,20150723,2014,미국,공포(호러),87,15세이상관람가,로즈 레슬리,해리 트레더웨이,,와이드 릴리즈(주)
221,20132743,허니,세미 카플라노글루,20130926,2010,터키,드라마,104,전체관람가,보라 알타스,에르달 베식시오글루,툴린 오젠,㈜영화사 백두대간
222,20040746,서바이빙 크리스마스,마이크 미첼,20041224,2004,미국,코미디,91,12세관람가,제임스 갠돌피니,벤 애플렉,캐서린 오하라,드림웍스픽쳐스
223,20040533,인 더 컷,제인 캠피온,20040430,2003,미국,스릴러,118,18세관람가,마크 러팔로,제니퍼 제이슨 리,맥 라이언,Pathe Cinema
224,20070146,섹스 앤 이노센트,사미르,20070419,2005,스위스,드라마,118,청소년관람불가,줄리 푸르니에,,,Pathe Cinema
225,20000204,섹슈얼 이노센스,마이크 피기스,20000726,1999,미국,드라마,105,18세관람가,줄리안 샌즈,세프론 버로우스,,(주)베어엔터테인먼트
226,20040588,레이디킬러,조엘 코엔,20040604,2004,미국,코미디,104,15세관람가,톰 행크스,일마 P. 홀,,터치스톤 픽처스
227,20040521,더티 댄싱 - 하바나 나이트,가이 퍼랜드,20040423,2004,미국,멜로/로맨스,87,15세관람가,로몰라 가레이,디에고 루나,,라이온스 게이트 필름즈
228,20030440,자토이치,기타노 다케시,20040130,2003,일본,액션,119,15세관람가,기타노 다케시,아사노 타다노부,오쿠스 미치요,인터비스앤파트너스(주)
229,20040528,고티카,마티유 카소비츠,20040402,2003,미국,공포(호러),95,15세관람가,할리 베리,로버트 다우니 주니어,페넬로페 크루즈,다크 캐슬 엔터테인먼트
230,19950048,런어웨이,김성수,19951230,1995,한국,액션,106,연소자관람불가,김은정,이병헌,이경영,㈜익영영화
231,20155323,런어웨이-72,크리스찬 세스마,20150924,2015,미국,액션,83,청소년관람불가,루크 고스,보킴 우드바인,,(주)블루브릭
232,20142068,런어웨이 걸,데릭 마티니,20141030,2011,미국,코미디,99,15세이상관람가,클로이 모레츠,블레이크 라이블리,,스크린조이
233,20148614,런어웨이걸의 정사,아사오 마사히로,20140416,2011,일본,멜로/로맨스,76,청소년관람불가,아오야마 로라,,,(유)조이앤컨텐츠그룹
234,20100330,런어웨이즈,플로리아 시지스몬디,20100624,2010,미국,드라마,106,청소년관람불가,크리스틴 스튜어트,스텔라 매브,다코타 패닝,리버 로드 엔터테인먼트
